标题,评分,评论数,年份,链接,图片链接
飞越疯人院,9.1,588266人评价,1975,https://movie.douban.com/subject/1292224/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792238287.jpg
布达佩斯大饭店,8.9,1047841人评价,2014,https://movie.douban.com/subject/11525673/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2183539003.jpg
蝴蝶效应,8.9,1032348人评价,2004,https://movie.douban.com/subject/1292343/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2209066019.jpg
禁闭岛,8.9,1077192人评价,2010,https://movie.douban.com/subject/2334904/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p450262388.jpg
致命魔术,8.9,937457人评价,2006,https://movie.douban.com/subject/1780330/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480383375.jpg
心灵捕手,9.0,791363人评价,1997,https://movie.douban.com/subject/1292656/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480965695.jpg
低俗小说,8.9,926374人评价,1994,https://movie.douban.com/subject/1291832/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910902213.jpg
超脱,9.0,695097人评价,2011,https://movie.douban.com/subject/5322596/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1305562621.jpg
哈利·波特与密室,8.9,879718人评价,2002,https://movie.douban.com/subject/1296996/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2913781951.jpg
摩登时代,9.3,334308人评价,1936,https://movie.douban.com/subject/1294371/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2263408369.jpg
喜剧之王,8.8,1060457人评价,1999,https://movie.douban.com/subject/1302425/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2579932167.jpg
杀人回忆,8.9,806357人评价,2003,https://movie.douban.com/subject/1300299/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1633113220.jpg
致命ID,8.9,915092人评价,2003,https://movie.douban.com/subject/1297192/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2558364386.jpg
春光乍泄,9.0,691053人评价,1997,https://movie.douban.com/subject/1292679/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p465939041.jpg
一一,9.1,470233人评价,2000,https://movie.douban.com/subject/1292434/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2567845803.jpg
海豚湾,9.3,376050人评价,2009,https://movie.douban.com/subject/3442220/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2559579779.jpg
美国往事,9.1,456277人评价,1984,https://movie.douban.com/subject/1292262/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p477229647.jpg
加勒比海盗,8.8,939205人评价,2003,https://movie.douban.com/subject/1298070/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1596085504.jpg
红辣椒,9.0,543461人评价,2006,https://movie.douban.com/subject/1865703/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2794776839.jpg
七宗罪,8.8,1026116人评价,1995,https://movie.douban.com/subject/1292223/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2219586434.jpg
唐伯虎点秋香,8.7,1186956人评价,1993,https://movie.douban.com/subject/1306249/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2357915564.jpg
还有明天,9.4,279183人评价,2023,https://movie.douban.com/subject/36445098/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2918279456.jpg
狩猎,9.1,449106人评价,2012,https://movie.douban.com/subject/6985810/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1546987967.jpg
幽灵公主,8.9,642050人评价,1997,https://movie.douban.com/subject/1297359/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2920895053.jpg
甜蜜蜜,8.9,643706人评价,1996,https://movie.douban.com/subject/1305164/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2223011274.jpg
蝙蝠侠：黑暗骑士崛起,8.9,790008人评价,2012,https://movie.douban.com/subject/3395373/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1706428744.jpg
7号房的礼物,8.9,606464人评价,2013,https://movie.douban.com/subject/10777687/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1816276065.jpg
寄生虫,8.8,1500708人评价,2019,https://movie.douban.com/subject/27010768/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2561439800.jpg
天书奇谭,9.2,316796人评价,1983,https://movie.douban.com/subject/1428581/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2700138245.jpg
超能陆战队,8.8,1112153人评价,2014,https://movie.douban.com/subject/11026735/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2224568669.jpg
爱在黎明破晓前,8.8,768476人评价,1995,https://movie.douban.com/subject/1296339/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2555762374.jpg
被嫌弃的松子的一生,8.8,755944人评价,2006,https://movie.douban.com/subject/1787291/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p884763596.jpg
第六感,8.9,616122人评价,1999,https://movie.douban.com/subject/1297630/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2220184425.jpg
爱在日落黄昏时,8.9,629352人评价,2004,https://movie.douban.com/subject/1291990/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2561542458.jpg
重庆森林,8.8,895941人评价,1994,https://movie.douban.com/subject/1291999/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p792381411.jpg
入殓师,8.9,728486人评价,2008,https://movie.douban.com/subject/2149806/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2707581855.jpg
剪刀手爱德华,8.7,1099861人评价,1990,https://movie.douban.com/subject/1292370/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480956937.jpg
断背山,8.8,761199人评价,2005,https://movie.douban.com/subject/1418834/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2154212680.jpg
未麻的部屋,9.1,404651人评价,1997,https://movie.douban.com/subject/1395091/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1351050722.jpg
菊次郎的夏天,8.9,655539人评价,1999,https://movie.douban.com/subject/1293359/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2620392435.jpg
勇敢的心,8.9,593574人评价,1995,https://movie.douban.com/subject/1294639/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2004174709.jpg
哈利·波特与火焰杯,8.8,769089人评价,2005,https://movie.douban.com/subject/1309055/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2913456904.jpg
借东西的小人阿莉埃蒂,8.9,609119人评价,2010,https://movie.douban.com/subject/4202302/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p617533616.jpg
茶馆,9.6,192237人评价,1982,https://movie.douban.com/subject/1461403/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2528965424.jpg
头脑特工队,8.8,764895人评价,2015,https://movie.douban.com/subject/10533913/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2874927470.jpg
